baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,feature_id,name,biotype,description,rank,is_interesting,patient_1,patient_2,patient_3,patient_6,patient_7,patient_8
2756.040418,-7.441468871,0.651044987,-11.43003789,2.96E-30,4.59E-27,ENSG00000107562,CXCL12,protein_coding,C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672],1,yes,-3.477619606,-7.250946399,-10.82514696,-9.265346663,-7.812595323,-5.923037104
2192.252271,-6.744356441,0.400186702,-16.85302489,9.97E-64,1.55E-59,ENSG00000198417,MT1F,protein_coding,metallothionein 1F [Source:HGNC Symbol;Acc:HGNC:7398],2,yes,-5.85240566,-8.942925865,-6.793850832,-6.71871363,-6.20236171,-6.742042057
7388.866649,-6.500652782,0.498409438,-13.04279631,6.98E-39,1.81E-35,ENSG00000187193,MT1X,protein_coding,metallothionein 1X [Source:HGNC Symbol;Acc:HGNC:7405],3,yes,-6.321932321,-5.631053572,-5.643770642,-8.593046645,-4.896842539,-8.209659688
10690.63687,-6.268630767,0.701196068,-8.93991147,3.89E-19,1.95E-16,ENSG00000113600,C9,protein_coding,complement C9 [Source:HGNC Symbol;Acc:HGNC:1358],4,yes,-13.91710461,-5.732215248,-4.208281724,-6.738058363,-6.672628104,-4.760528493
1621.786001,-5.921424654,0.587616296,-10.07702593,6.98E-24,5.70E-21,ENSG00000173918,C1QTNF1,protein_coding,C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324],5,yes,-2.718976833,-5.6960804,-5.363324127,-8.767937981,-7.524663435,-5.466967483
43250.70621,-5.727894142,0.58602342,-9.774172744,1.45E-22,9.81E-20,ENSG00000125148,MT2A,protein_coding,metallothionein 2A [Source:HGNC Symbol;Acc:HGNC:7406],6,yes,-4.000208743,-6.45178673,-4.995554934,-9.339758259,-3.654157742,-6.643874393
693.5756849,-5.714384504,0.600858784,-9.510361923,1.90E-21,1.18E-18,ENSG00000138315,OIT3,protein_coding,oncoprotein induced transcript 3 [Source:HGNC Symbol;Acc:HGNC:29953],7,yes,-3.976644961,-6.271931556,-7.820495605,-7.748712599,-2.604762125,-5.731930968
2171.289564,-5.328012436,0.542299204,-9.82485756,8.80E-23,6.21E-20,ENSG00000116882,HAO2,protein_coding,hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810],8,yes,-5.746932171,-7.842184278,-4.001276068,-3.039420783,-4.821456692,-6.987567522
1009.553539,-5.297264084,0.747551606,-7.086151702,1.38E-12,2.12E-10,ENSG00000114200,BCHE,protein_coding,butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983],9,yes,-8.16717942,-6.313183206,-1.139042724,-6.299079825,-0.868036182,-6.681767624
1464.882218,-5.267405065,0.530829942,-9.922961484,3.31E-23,2.57E-20,ENSG00000163687,DNASE1L3,protein_coding,deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959],10,yes,-1.963739741,-5.046966563,-6.688881273,-5.143864648,-5.503985867,-6.594801151
9201.039593,-5.196648058,0.737027353,-7.050821158,1.78E-12,2.63E-10,ENSG00000140107,SLC25A47,protein_coding,solute carrier family 25 member 47 [Source:HGNC Symbol;Acc:HGNC:20115],11,yes,-8.550976416,-0.775715858,-9.440391324,-4.428018407,-3.931563038,-4.80969514
3773.064341,-5.148709602,0.553763597,-9.297667149,1.44E-20,7.96E-18,ENSG00000175336,APOF,protein_coding,apolipoprotein F [Source:HGNC Symbol;Acc:HGNC:615],12,yes,-6.715214441,-4.332398961,-2.781687962,-7.032124085,-3.464755407,-6.43119262
1239.031136,-5.063995699,0.664529236,-7.620425745,2.53E-14,5.30E-12,ENSG00000197859,ADAMTSL2,protein_coding,ADAMTS like 2 [Source:HGNC Symbol;Acc:HGNC:14631],13,yes,-2.468933094,-2.033977827,-5.584377358,-7.60086023,-8.23663946,-4.691391124
476.7310757,-5.035736428,0.602763665,-8.354412711,6.58E-17,2.22E-14,ENSG00000123454,DBH,protein_coding,dopamine beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:2689],14,yes,-5.714566933,-7.625747461,-2.21859042,-6.958995338,-3.547942704,-4.433380482
574.3279935,-4.95118957,0.571993976,-8.656016988,4.89E-18,2.00E-15,ENSG00000197580,BCO2,protein_coding,beta-carotene oxygenase 2 [Source:HGNC Symbol;Acc:HGNC:18503],15,yes,-3.325114844,-6.230071026,-3.589091178,-4.742704866,-4.470624688,-8.807139907
